src_ip,packet_count,unique_dst_ips,unique_dst_ports,avg_packet_size,std_packet_size,total_bytes,tcp_count,udp_count,icmp_count,avg_ttl,unique_protocols,packet_rate,anomaly,anomaly_score,is_anomaly,risk_level
192.168.137.32,433,22,6,348.6096997690531,498.6479985719087,150948,389,39,5,64.0,3,26.733751713460613,-1,-0.7577991152643215,True,HIGH
192.168.137.1,35,1,35,166.8,80.23340950003309,5838,0,35,0,128.0,1,2.176871966839896,-1,-0.6142689020051902,True,HIGH
34.36.57.103,2,1,2,66.0,0.0,132,2,0,0,116.0,1,4.233754027358518,1,-0.39513111401498985,False,LOW
208.103.161.2,8,1,2,85.75,23.78925327597677,686,8,0,0,50.0,1,1.1582194345167345,1,-0.44173671795306485,False,LOW
17.253.57.206,4,1,1,183.75,230.19756007974252,735,4,0,0,51.0,1,87.68276376071374,1,-0.42775491993631193,False,LOW
142.251.98.100,17,1,2,375.94117647058823,520.1245608731907,6391,17,0,0,116.0,1,1.3332617031947696,1,-0.4451420273972152,False,LOW
95.100.158.19,4,1,1,116.0,94.74175425861608,464,4,0,0,49.0,1,85.50479895684144,1,-0.4280884395458043,False,LOW
142.250.147.188,1,1,1,66.0,,66,1,0,0,116.0,1,1.0,1,-0.37146599498908867,False,LOW
2.19.198.219,1,1,1,66.0,,66,1,0,0,48.0,1,1.0,1,-0.4078273344146684,False,LOW
18.97.36.6,2,1,1,125.0,83.43860018001261,250,2,0,0,111.0,1,62.82590940503864,1,-0.4002899559684735,False,LOW
142.250.130.95,30,1,2,204.83333333333337,315.39128225038223,6145,30,0,0,116.0,1,2.8626295638068204,1,-0.46715213585962573,False,MEDIUM
142.251.98.95,13,1,1,292.3076923076923,440.0059440157948,3800,13,0,0,116.0,1,71.41679942866561,1,-0.39384352895294406,False,LOW
34.54.194.141,1,1,1,66.0,,66,1,0,0,116.0,1,1.0,1,-0.37146599498908867,False,LOW
35.186.224.24,10,1,1,87.8,37.78535871648347,878,10,0,0,116.0,1,68.56970453314317,1,-0.41146272261307,False,LOW
35.186.224.34,4,1,2,83.0,20.23198787399136,332,4,0,0,116.0,1,2.7548247311635414,1,-0.39020374542036623,False,LOW
208.103.161.1,1,1,1,66.0,,66,1,0,0,50.0,1,1.0,1,-0.4030788733973064,False,LOW
142.250.120.99,342,1,1,901.502923976608,585.8840413956513,308314,342,0,0,116.0,1,175.38038826756485,-1,-0.6963104603107456,True,HIGH
142.250.109.100,16,1,1,600.4375,621.2906961855027,9607,16,0,0,116.0,1,108.737019518295,1,-0.4553783755768786,False,MEDIUM
142.251.98.132,44,1,3,593.9090909090909,597.5569961404215,26132,44,0,0,116.0,1,65.64910553093713,-1,-0.5457870174471015,True,MEDIUM
142.250.109.94,5,1,1,553.6,626.8211866234261,2768,5,0,0,116.0,1,159.65769390426925,1,-0.45283834329128414,False,LOW
82.145.216.15,9,1,1,469.0,533.6021457977845,4221,9,0,0,48.0,1,59.983204702683246,1,-0.47350597330929095,False,MEDIUM
142.251.98.155,12,1,1,310.9166666666667,448.8926695635369,3731,12,0,0,116.0,1,46.99229717928736,1,-0.3975163626584196,False,LOW
142.251.9.84,1,1,1,66.0,,66,1,0,0,116.0,1,1.0,1,-0.37146599498908867,False,LOW
